[iter=99] [PID=21648] [time=43.7s]: param_kd=5, param_n=2, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.6484375
[iter=100] [PID=21648] [time=46.5s]: param_kd=10, param_n=3, param_alpha=20, param_delta=0.05 -> accuracy=0.35546875
[iter=101] [PID=21648] [time=48.5s]: param_kd=7, param_n=3, param_alpha=18, param_delta=0.09736842105263158 -> accuracy=0.58984375
[iter=102] [PID=21648] [time=44.8s]: param_kd=8, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.64453125
[iter=103] [PID=21648] [time=46.9s]: param_kd=2, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.62890625
[iter=104] [PID=21648] [time=42.0s]: param_kd=4, param_n=2, param_alpha=5, param_delta=0.19210526315789472 -> accuracy=0.12109375
[iter=105] [PID=21648] [time=41.4s]: param_kd=4, param_n=2, param_alpha=11, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=106] [PID=21648] [time=103.1s]: param_kd=5, param_n=3, param_alpha=11, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=107] [PID=21648] [time=43.3s]: param_kd=6, param_n=2, param_alpha=20, param_delta=0.3105263157894737 -> accuracy=0.6484375
[iter=108] [PID=21648] [time=49.9s]: param_kd=2, param_n=2, param_alpha=12, param_delta=0.19210526315789472 -> accuracy=0.640625
[iter=109] [PID=21648] [time=69.6s]: param_kd=6, param_n=3, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=110] [PID=21648] [time=63.8s]: param_kd=5, param_n=3, param_alpha=9, param_delta=0.19210526315789472 -> accuracy=0.12109375
[iter=111] [PID=21648] [time=41.6s]: param_kd=6, param_n=2, param_alpha=11, param_delta=0.21578947368421053 -> accuracy=0.64453125
[iter=112] [PID=21648] [time=50.9s]: param_kd=3, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=113] [PID=21648] [time=44.1s]: param_kd=9, param_n=2, param_alpha=15, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=114] [PID=21648] [time=40.9s]: param_kd=9, param_n=2, param_alpha=11, param_delta=0.14473684210526316 -> accuracy=0.609375
[iter=115] [PID=21648] [time=48.1s]: param_kd=7, param_n=2, param_alpha=18, param_delta=0.05 -> accuracy=0.3125
[iter=116] [PID=21648] [time=54.4s]: param_kd=10, param_n=3, param_alpha=19, param_delta=0.09736842105263158 -> accuracy=0.625
[iter=117] [PID=21648] [time=66.7s]: param_kd=9, param_n=3, param_alpha=20, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=118] [PID=21648] [time=44.9s]: param_kd=4, param_n=2, param_alpha=13, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=119] [PID=21648] [time=55.5s]: param_kd=3, param_n=3, param_alpha=12, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=120] [PID=21648] [time=45.1s]: param_kd=4, param_n=2, param_alpha=14, param_delta=0.2631578947368421 -> accuracy=0.6484375
[iter=121] [PID=21648] [time=49.0s]: param_kd=2, param_n=2, param_alpha=14, param_delta=0.2631578947368421 -> accuracy=0.6484375
[iter=122] [PID=21648] [time=52.5s]: param_kd=6, param_n=3, param_alpha=10, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=123] [PID=21648] [time=45.3s]: param_kd=2, param_n=2, param_alpha=15, param_delta=0.12105263157894737 -> accuracy=0.5234375
[iter=124] [PID=21648] [time=44.3s]: param_kd=7, param_n=2, param_alpha=9, param_delta=0.23947368421052634 -> accuracy=0.12109375
[iter=125] [PID=21648] [time=57.3s]: param_kd=5, param_n=3, param_alpha=12, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=126] [PID=21648] [time=72.0s]: param_kd=5, param_n=3, param_alpha=16, param_delta=0.2868421052631579 -> accuracy=0.7421875
[iter=127] [PID=21648] [time=43.3s]: param_kd=7, param_n=2, param_alpha=18, param_delta=0.14473684210526316 -> accuracy=0.59765625
[iter=128] [PID=21648] [time=58.8s]: param_kd=10, param_n=3, param_alpha=14, param_delta=0.21578947368421053 -> accuracy=0.7421875
[iter=129] [PID=21648] [time=41.9s]: param_kd=5, param_n=2, param_alpha=7, param_delta=0.14473684210526316 -> accuracy=0.12109375
[iter=130] [PID=21648] [time=60.8s]: param_kd=3, param_n=3, param_alpha=20, param_delta=0.14473684210526316 -> accuracy=0.68359375
[iter=131] [PID=21648] [time=51.7s]: param_kd=9, param_n=3, param_alpha=16, param_delta=0.09736842105263158 -> accuracy=0.6328125
[iter=132] [PID=21648] [time=44.4s]: param_kd=8, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.64453125
[iter=133] [PID=21648] [time=62.9s]: param_kd=2, param_n=3, param_alpha=11, param_delta=0.2631578947368421 -> accuracy=0.12109375
[iter=134] [PID=21648] [time=41.1s]: param_kd=7, param_n=2, param_alpha=8, param_delta=0.23947368421052634 -> accuracy=0.12109375
[iter=135] [PID=21648] [time=45.8s]: param_kd=3, param_n=2, param_alpha=20, param_delta=0.2868421052631579 -> accuracy=0.6484375
[iter=136] [PID=21648] [time=45.6s]: param_kd=3, param_n=3, param_alpha=11, param_delta=0.0736842105263158 -> accuracy=0.4609375
[iter=137] [PID=21648] [time=62.8s]: param_kd=3, param_n=3, param_alpha=20, param_delta=0.2868421052631579 -> accuracy=0.7421875
[iter=138] [PID=21648] [time=46.2s]: param_kd=2, param_n=2, param_alpha=13, param_delta=0.19210526315789472 -> accuracy=0.640625
[iter=139] [PID=21648] [time=33.3s]: param_kd=4, param_n=3, param_alpha=14, param_delta=0.05 -> accuracy=0.33203125
[iter=140] [PID=21648] [time=47.4s]: param_kd=2, param_n=2, param_alpha=10, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=141] [PID=21648] [time=45.5s]: param_kd=4, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=142] [PID=21648] [time=51.0s]: param_kd=3, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=143] [PID=21648] [time=41.8s]: param_kd=9, param_n=2, param_alpha=14, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=144] [PID=21648] [time=41.4s]: param_kd=5, param_n=2, param_alpha=9, param_delta=0.14473684210526316 -> accuracy=0.640625
